I1,k,t1,I2,t2,ttf
7.861,0.004230168,57.31666667,8.457,200.5416667,769.225
6.933,0.00390413,57.33333333,7.476,200.5916667,856.2166667
7.803,0.004535974,57.375,8.437,200.5583333,803.4833333
7.555,0.005174337,63.58333333,8.725,221.325,846.875
7.538,0.004844291,56.99166667,8.219,199.4,1176.116667
5.254,0.002823392,59.48333333,5.651,206.8666667,1261.516667
9.347,0.005615492,57.30833333,10.148,200.575,631
6.215,0.003443275,56.975,6.691,199.2416667,950.1416667
7.806,0.005051006,57.30833333,8.512,200.5416667,568.3083333
6.331,0.0037051,57.29166667,6.845,199.4666667,776.5416667
9.048,0.005505438,57.3,9.821,200.525,448.925
6.167,0.003584035,57.74166667,6.672,201.7583333,724.6916667
8.235,0.004496103,57.3,8.859,199.475,799.075
6.458,0.004226211,56.98333333,7.038,199.3333333,633.95
5.851,0.003254283,57.325,6.302,200.5083333,679.9166667
8.071,0.006381971,57.23333333,9.13,200.2833333,295.9333333
6.974,0.004502902,57.475,7.604,200.7416667,561.9916667
8.982,0.004649966,41.01666667,9.443,143.525,801.6583333
9.614,0.005613989,44.26666667,10.204,154.4333333,516.6583333
8.82,0.005869364,44.36666667,9.438,155.0083333,401.025
7.87,0.00502788,44.31666667,8.4,154.8916667,569.3583333
10.093,0.002137962,28.80833333,10.336,100.2666667,603.8583333
8.047,0.005604992,57.25,8.829,200.3666667,478.1666667
11.153,0.006408881,40.63333333,11.824,142.2166667,400.325
10.795,0.008501736,40.64166667,11.652,142.2416667,648.2
12.58,0.007911478,44.375,13.432,155.0083333,378.2166667
7.688,0.005282652,57.25833333,8.422,199.2833333,322.4916667
9.753,0.005533362,44.34166667,10.336,154.9416667,546.05
7.313,0.005201833,57.26666667,8.044,200.3833333,599.9666667
8.291,0.005206369,44.35833333,8.839,154.5,353.7
12.004,0.007750648,40.65,12.647,91.74166667,91.74166667
9.345,0.006111014,44.375,9.989,155.0083333,461.4916667
7.688,0.005380415,44.36666667,8.256,155.0083333,404.8666667
9.34,0.005738525,44.34166667,9.945,154.0166667,567.875
8.637,0.00572663,44.35833333,9.243,155.0083333,595.075
11.211,0.007388495,44.30833333,11.996,155.0083333,442.2833333
7.753,0.00534661,44.35833333,8.333,155.0166667,598.725
7.834,0.005654115,44.3,8.433,154.8833333,536.7083333
9.164,0.006072969,40.71666667,9.763,142.475,464.6
8.34,0.005839606,44.36666667,8.954,154.4916667,392.3
9.877,0.008098514,40.70833333,10.71,142.45,510.8166667
12.458,0.011103847,38.04166667,13.514,133.1166667,268.4833333
11.746,0.009868974,38.03333333,12.682,127.8166667,193.225
9.516,0.008699951,37.59166667,10.297,131.3583333,190.7916667
11.985,0.008962473,40.7,12.881,142.4333333,310.6083333
10.25,0.009887689,39.63333333,11.202,138.7,276.4416667
12.83,0.010550935,38.05,13.798,133.0583333,291.1083333
12.374,0.008865001,38.05,13.184,133.125,351.9166667
12.656,0.010199593,38.05833333,13.586,133.0583333,212.5
12.183,0.009536672,38.05833333,13.053,133.1166667,255.025
10.713,0.008922872,38.05,11.53,132.9416667,289.6166667
13.187,0.011828247,38.03333333,14.256,133.05,283.8666667
11.385,0.009444059,40.05,12.325,140.0666667,166.8
13.635,0.010633503,38.03333333,14.616,133.1166667,484.3833333
11.817,0.010362144,37.96666667,12.772,132.825,250.3916667
12.547,0.011354841,38.04166667,13.597,133.0583333,278.1583333
11.95,0.009447981,37.95833333,12.814,132.775,351.7
9.918,0.009237034,37.96666667,10.763,132.825,258.9166667
9.745,0.008283278,37.13333333,10.473,129.8166667,377.0166667
12.323,0.011138606,35.425,13.272,123.9833333,222.325
10.366,0.008685047,37.575,11.145,131.2,309.9916667
9.09,0.007627595,37.96666667,9.781,132.825,291
13.557,0.013406832,35.325,14.704,123.3666667,189.1916667
12.876,0.012935877,35.375,13.996,123.6583333,333.2583333
10.019,0.009857273,37.98333333,10.924,132.9333333,263.15
9.667,0.009355439,20.625,10.108,72.06666667,586.6583333
9.01,0.011091948,20.63333333,9.565,72.15,475.3
5.521,0.006843238,28.51666667,6.003,99.775,559.8833333
6.673,0.008152873,27.26666667,7.215,95.4,411.625
7.729,0.007281269,18.80833333,8.069,65.78333333,386.2833333
8.132,0.009259923,27.25,8.75,95.15833333,592.4333333
8.034,0.008744932,20.625,8.447,71.875,700.9083333
7.576,0.008300148,23.04166667,8.021,80.4,469.5583333
8.616,0.008628457,18.80833333,9.007,65.79166667,678.6333333
9.193,0.011897935,28.5,10.054,99.73333333,369.1583333
7.706,0.008850063,23.025,8.185,80.21666667,609.6583333
9.325,0.013361353,19.525,9.943,68.21666667,259.0166667
11.117,0.014156187,18.825,11.754,65.8,314.8333333
9.424,0.013227229,18.81666667,10.013,65.675,254.0916667
9.042,0.013947917,18.825,9.669,65.675,221.75
12.035,0.016025336,18.825,12.751,65.80833333,384.8
8.398,0.012581824,19.51666667,8.975,68.13333333,274.7416667
11.52,0.016003381,19.50833333,12.264,68.06666667,314.7333333
11.33,0.017494652,17.19166667,12.042,60.025,182.9
13.798,0.023160237,17.2,14.75,60.15833333,158.1916667
14.61,0.023826563,17.20833333,15.591,60.15833333,102.1916667
13.032,0.023494225,16.20833333,13.946,56.675,276.55
12.836,0.039593311,17.50833333,15.478,57.03333333,57.03333333
11.875,0.018301872,17.20833333,12.619,60.01666667,148.3
14.197,0.020328083,17.23333333,15.03,60.25,163.45
11.567,0.021236283,18.81666667,12.529,65.80833333,174.6166667
11.513,0.02064878,17.4,12.37,60.81666667,241.3916667
12.851,0.021529901,16.19166667,13.693,56.625,219.775
10.842,0.019844589,17.5,11.668,61.05,194.225
17.061,0.034246283,12.91666667,18.114,45.05,124.3583333
15.697,0.033395193,12.90833333,16.728,45.175,133.35
17.36,0.030867084,12.90833333,18.309,45.05,162.125
13.056,0.02789334,13.96666667,13.98,48.79166667,145.925
15.105,0.033329049,12.91666667,16.129,45.16666667,121.925
15.354,0.034222024,13.35833333,16.454,46.61666667,155.1833333
12.81,0.026987459,14.75,13.753,51.56666667,154.1083333
15.831,0.031493032,13.35833333,16.84,46.525,161.4416667
17.514,0.037141628,12.925,18.655,45.16666667,152.5833333
16.745,0.03312194,12.91666667,17.766,45.05,113.7083333
14.213,0.031833881,13.59166667,15.251,47.5,135.4083333
14.239,0.030973166,12.91666667,15.182,45.03333333,120.5083333
6.607,0.015863065,13.74166667,7.237,48.03333333,369.35
8.065,0.018126494,9.108333333,8.45,31.75,216.1333333
6.497,0.013114036,10.91666667,6.843,38.15,558.7666667
6.53,0.013480234,10.66666667,6.87,37.15,223.7416667
6.686,0.01234558,10.275,6.989,35.95,198.6
9.159,0.015787718,8.85,9.487,30.70833333,229.3666667
6.6,0.010863689,10.28333333,6.864,35.93333333,307.9833333
7.1,0.01305947,10.28333333,7.422,35.93333333,280.9666667
5.958,0.010816194,11.425,6.252,39.95833333,294.2416667
7.69,0.012589517,10.25833333,7.999,35.725,524.3666667
5.521,0.00952562,10.25833333,5.757,35.89166667,338.8583333
7.273,0.01480865,9.341666667,7.607,32.56666667,351.7083333
7.281,0.014096254,9.283333333,7.596,32.225,337.8583333
6.649,0.013424176,9.275,6.948,32.20833333,302.6583333
7.324,0.014549766,9.216666667,7.649,32.21666667,306.6166667
7.497,0.014772528,9.358333333,7.831,32.69166667,238.3416667
7.242,0.014302343,9.366666667,7.563,32.69166667,386.7666667
8.018,0.015257975,8.45,8.327,29.48333333,453.5166667
7.747,0.014654226,9.441666667,8.078,32.96666667,417.6333333
6.268,0.012664957,9.45,6.555,32.975,345.1083333
6.577,0.012068529,9.275,6.845,32.21666667,387.7
11.77,0.034319231,7.766666667,12.407,27.15,103.7583333
